sym,ret_10,avg_rng_10,ann_vol_10,eff_10,trend_eff_10,n2_10,n3_10,corr_spy_10,ret_21,avg_rng_21,ann_vol_21,eff_21,trend_eff_21,n2_21,n3_21,corr_spy_21,ret_63,avg_rng_63,ann_vol_63,eff_63,trend_eff_63,n2_63,n3_63,corr_spy_63,mfe10,p5,mfe10r,p5r,last
MSFT,-0.8828875387461022,2.8065035434959773,29.94672693323146,0.044107530777626455,0.43908793879942276,3,0,0.17540377516815736,4.4437203645739665,2.943587734401082,34.30556508844001,0.13360353095482133,0.44420769900761153,6,3,-0.1505221539588959,-8.190015634395664,2.6740144339288343,33.33392907368021,0.06876438094540373,0.4495099311423697,20.0,11.0,0.10607078476471248,5.934210008608492,58.333333333333336,6.192512241781167,63.63636363636363,381.70001
MU,-5.958335606640819,6.599467088562013,98.98652553042872,0.09009018268648,0.40885437117254037,7,7,0.2633191135963272,-12.165835212197917,6.672359292369795,102.3134788062351,0.08716189900175923,0.40715027976519863,13,13,0.31245284326096306,91.17952545046914,6.7149719107295045,108.29644978485898,0.23064556870390474,0.399735452774727,48.0,43.0,0.5445113907394731,20.834499501723243,100.0,16.79095884894931,100.0,920.95001
NVDA,-1.9529815153118357,3.346916145538279,38.11961604544696,0.08773285686343028,0.31107703665986375,5,2,0.7368322824198713,3.939698492462318,3.376943948963781,35.37885614374917,0.11255822933931496,0.38427041416597885,8,4,0.5083894223705948,3.606491685033064,3.3749861866975834,41.74688944065234,0.04282541824028103,0.4829011989772555,24.0,16.0,0.6332641503401844,7.301827082707542,81.66666666666667,6.688203582935701,72.72727272727273,206.84
QQQ,-5.689794686637062,1.4491890533379936,20.57888982215129,0.4837204910925723,0.4047638868148645,0,0,0.8676670453002973,-3.71366130984212,1.6636465424434563,23.338988167826482,0.13158200939586495,0.4512641525173577,1,0,0.88447869521162,5.036689233879499,1.5946098415681758,24.633851586565637,0.07324069182204994,0.46016307459133726,8.0,4.0,0.9130790316134434,4.294684567376244,40.0,3.6451182416911596,18.181818181818183,684.22998
RSP,-0.34063929071396215,0.8743606675834238,8.726009552340644,0.07860460889087041,0.4119579872116795,0,0,0.22045350576408118,1.5163085844662083,0.8910679253231926,9.865059807064716,0.15034838114116422,0.32417564183259295,0,0,0.4907403850579777,5.492719189923445,0.955156788376483,10.844350932768963,0.15760390616140446,0.4017151307784897,0.0,0.0,0.7199350894095732,1.6078846233464807,0.0,1.5135407446600415,0.0,213.57001
SMH,-8.156723341660832,3.4866254585405114,44.5190162378051,0.33874942318808826,0.4833551687049481,6,4,0.6336528946629245,-9.327535362487405,3.70087174303783,50.43882137245793,0.149080736713866,0.49597868898258635,15,10,0.68128992462862,16.46570267789349,3.4308304736684976,53.24149329330447,0.10897254360239553,0.4712196681792591,33.0,26.0,0.7794148093092769,9.503930948434501,98.33333333333333,8.151124016272059,100.0,561.19
SOXL,-28.84114890466809,12.616058808165231,154.08046906905145,0.3663401064104148,0.5132862236291947,8,7,0.5368073222926472,-40.40597898654097,13.27973033664631,176.25282314464005,0.1919576957992235,0.5064752496626709,18,17,0.6391366521059425,21.317726345659317,12.212114453927715,185.6403015991556,0.10465650580744856,0.48206666298333745,55.0,51.0,0.7465965986314633,34.39265770985777,100.0,29.863882360741535,100.0,136.81
SOXS,26.299019607843157,11.915552881931788,157.4024493046544,0.3400313449865138,0.5150741076636196,8,7,-0.541984491174136,26.299019607843157,12.935561665729908,183.96375177474818,0.17450459936284218,0.517291532500378,18,17,-0.6510725215456237,-97.81188959660298,12.230024596818318,263.9016339718421,0.2062432741651017,0.48892706553686643,55.0,51.0,-0.5897239499384336,34.65400244246398,100.0,30.053172017425048,100.0,51.53
SPCX,-20.805230557467326,6.129994189948627,50.329900407035254,0.6660826921854118,0.5046138681126071,9,6,0.2585114865459353,-25.540308369374166,6.294595740229129,63.27597569228461,0.38125817406702356,0.5272128035515408,16,11,0.5086039713729766,,,,,,,,,20.37860377142499,100.0,20.37860377142499,100.0,115.07
SPXL,-6.726843138005689,2.353705283829618,31.431914083187944,0.4144753321195543,0.28493105482314807,4,2,0.9993978997957342,1.2756650591163599,2.7495886419580677,34.766967645538614,0.048934701504040216,0.3535169370037199,9,3,0.9980465219840066,10.049864762065752,2.8348786637047976,39.26555148354583,0.0964897549760839,0.4224489310241198,25.0,12.0,0.9988466569799734,6.922622191613076,80.0,6.8346088235683675,72.72727272727273,260.39999
