Date,gap,ret_cc,ret_oc,range_pct,close_loc,trend_eff,klass,reports,is_event
2026-05-04,-0.0008048469907764311,-0.0036633732418408504,-0.002860828780499536,0.009893859435402457,0.42356462333151623,0.28915195320673814,MIXED,,False
2026-05-05,0.005236709722194588,0.0080221862087968,0.0027709657433541146,0.0049442040508599384,0.642264142864714,0.5604472863275464,DIRECTIONAL,JOLTS (Job Openings),True
2026-05-06,0.006065393534813612,0.013899442809194973,0.007786819151840874,0.009353827615020488,0.88773888408011,0.8324740921392122,DIRECTIONAL,,False
2026-05-07,0.0016624667385507497,-0.0030661051451670307,-0.004720723837356222,0.008694111478295744,0.28683699059560996,0.5429794463920996,MIXED,,False
2026-05-08,0.004579088969652201,0.008256075664832885,0.0036602261937903613,0.004797844260426868,0.8689412870116792,0.7628897469599624,DIRECTIONAL,Jobs Report (NFP + Unemployment),True
2026-05-11,-0.001586169030123874,0.0022775819527669494,0.00386988928141907,0.00588374772918304,0.6566819586310421,0.657725222008525,QUIET,,False
2026-05-12,-0.0032598133810336494,-0.0015149465915723637,0.0017505733318328165,0.009481956032489552,0.9058432156302225,0.18462154072794107,MIXED,CPI (Consumer Price Index),True
2026-05-13,0.0003928310221468223,0.005594854989228182,0.005199981253130703,0.01143352585322728,0.8104300947867195,0.4548011978004958,MIXED,PPI (Producer Price Index),True
2026-05-14,0.0018052026781265607,0.00789424903342284,0.006078074199473482,0.008042502458541668,0.7721870744368142,0.7557441518737947,DIRECTIONAL,Retail Sales (Advance),True
2026-05-15,-0.008527473930456275,-0.012029351939515154,-0.0035319970215828,0.007351270629703694,0.2199927272727316,0.480460752908666,MIXED,,False
2026-05-18,0.0008929475193242276,-0.0007034376585477453,-0.0015949609614380744,0.01086349583623519,0.655047279130563,0.14681838935474917,CHOP,,False
2026-05-19,-0.005239274209997369,-0.006660854080800083,-0.00142906714544222,0.00828537173802558,0.3594695416168872,0.1724807516944037,MIXED,,False
2026-05-20,0.0026985949245252883,0.010249029213717176,0.007530113562949747,0.010875921957012093,0.922305667049708,0.69236553854589,DIRECTIONAL,,False
2026-05-21,-0.0035210657672850587,0.00198309612141645,0.005523610885903807,0.010576689376053952,0.725760465185392,0.5222438411030094,MIXED,,False
2026-05-22,0.004739363612372038,0.003931549060139039,-0.0008040040845306295,0.006004981931480986,0.2600952462096538,0.13388950936149463,MIXED,,False
2026-05-26,0.005860737006320171,0.006638619083758623,0.000773349678359514,0.005042647858984915,0.5904335106382864,0.15336182497486334,QUIET,,False
2026-05-27,0.00038632274398864297,-0.00017321040088946749,-0.0005593170679736303,0.004210061250080828,0.7088698525013979,0.13285247761250318,QUIET,,False
2026-05-28,-0.00027985501479477204,0.005516563027567978,0.00579804065311551,0.007888548146775474,0.9070884656184632,0.7349946460662118,MIXED,"GDP, PCE (Personal Income & Outlays)",True
2026-05-29,0.0017228200827676954,0.0024913862308875157,0.0007672443241897309,0.004492468976741749,0.5280150512519348,0.1707845570357594,QUIET,,False
2026-06-01,-0.0014805282751830795,0.0027231388198800666,0.004209899971005848,0.007389528008394824,0.6887226007731604,0.5697116197710083,MIXED,,False
2026-06-02,-0.0019906017346640326,0.0013579112863635334,0.003355191871787788,0.004811901938247263,0.772601246020568,0.6972693780642416,QUIET,JOLTS (Job Openings),True
2026-06-03,-0.0018694655940931781,-0.007017154350261956,-0.00515733020754916,0.0068854482551252314,0.12810374035847466,0.7490188026190256,MIXED,,False
2026-06-04,-0.0028373117686322225,0.003778687205381326,0.006634824038340259,0.009068771333644025,0.8216421565402506,0.7316122321582724,MIXED,,False
2026-06-05,-0.0063136837490002096,-0.02580939690544881,-0.019619585011497853,0.022837416137301746,0.11682835954697272,0.8590982838663603,DIRECTIONAL,Jobs Report (NFP + Unemployment),True
2026-06-08,0.007877432145311447,0.002264226184858442,-0.0055693339104786466,0.009694298823053202,0.14405114384134737,0.5744957951197748,MIXED,,False
2026-06-09,0.00596578850541607,-0.0029355024053260292,-0.008848502615548037,0.03288600279562264,0.5948154647533783,0.2690659205540734,CHOP,,False
2026-06-10,-0.004965712040687298,-0.01576554940531394,-0.010853733881649119,0.01770569189670756,0.007660548138769926,0.6130081752787877,DIRECTIONAL,CPI (Consumer Price Index),True
2026-06-11,0.0045904085106820425,0.016996843485888924,0.012349744602478951,0.021490743717391608,0.8563190705854934,0.5746541285346394,DIRECTIONAL,PPI (Producer Price Index),True
2026-06-12,0.003998603827822134,0.005408249221857453,0.0014040312293872592,0.012754785936418595,0.7141330191134444,0.11007877642057048,CHOP,,False
2026-06-15,0.013616420626895831,0.017634000674081607,0.0039636098680218,0.006632935625210663,0.6239883088955684,0.5975649534358198,DIRECTIONAL,,False
2026-06-16,-0.0003709841852871376,-0.005961607091355514,-0.0055926977084712615,0.00736589676176374,0.08093884892086155,0.7592690868955524,MIXED,,False
2026-06-17,0.0012793837037201605,-0.012487838351449732,-0.013749631001334528,0.017232483914211578,0.13457411224241125,0.7978902559714708,DIRECTIONAL,"FOMC Rate Decision, Retail Sales (Advance)",True
2026-06-18,0.00917726978035871,0.0078006502968945846,-0.0013641007627566148,0.005897740609540466,0.6590404097034663,0.23129209184784771,QUIET,,False
2026-06-22,0.0012856148229050124,-0.0031469856060609702,-0.004426909128970147,0.009441023775892838,0.1787250762057775,0.46890138549105537,MIXED,,False
2026-06-23,-0.0142129929981194,-0.014521943947098381,-0.00031340537741375574,0.00984700211116484,0.17462868399906792,0.03182749164422407,MIXED,,False
2026-06-24,0.0021673981796832553,-0.00046352134835947467,-0.0026252296101644257,0.012418522521919374,0.2634429493807957,0.2113962917513538,CHOP,,False
2026-06-25,0.007732775185925078,0.0014456385555292606,-0.006238892675923813,0.013324450566314644,0.48106452187405946,0.4682288883037526,MIXED,"GDP, PCE (Personal Income & Outlays)",True
2026-06-26,-0.007285823332232266,-0.007231376919942467,5.484601063376893e-05,0.02716874611424143,0.622053322279038,0.0020187170362278703,CHOP,,False
2026-06-29,0.010343132420789436,0.016474862706962412,0.006068958247364309,0.012990539143068318,0.9408657236931989,0.4671829383311371,MIXED,,False
2026-06-30,0.0003913360323886117,0.007786801619433348,0.007392572607011427,0.009622145748987967,0.8246846778616039,0.7682873238320007,DIRECTIONAL,JOLTS (Job Openings),True
2026-07-01,-0.002370234412999106,-0.0013525047510611898,0.0010201476510067753,0.009454048516837966,0.4787549575070739,0.10790590392992583,MIXED,,False
2026-07-02,0.0021991122854658762,-0.0013140688517206955,-0.003505472210182714,0.015125470457982767,0.42110046204906254,0.23175954889605643,CHOP,Jobs Report (NFP + Unemployment),True
2026-07-06,0.005316952442991907,0.008727409084800408,0.0033924193096723787,0.0067133916036927034,0.7740119999999934,0.5053212310460747,MIXED,ISM Services PMI,True
2026-07-07,-0.0014110051614176777,-0.004751903228414123,-0.0033456187523240866,0.00765360420933856,0.43478260869565216,0.43712983593297433,MIXED,,False
2026-07-08,-0.006085313662106517,-0.0030894329863333514,0.00301422316920541,0.008880461438780872,0.8870483628789728,0.33942190842047154,MIXED,FOMC June Minutes,True
2026-07-09,0.002615991343815516,0.008465253328004962,0.005834000289931085,0.008559082142230199,0.9592551027125643,0.6816151770697866,DIRECTIONAL,,False
2026-07-10,0.0004522595029397003,0.004310159388323687,0.0038561559022325387,0.00973780288308521,0.9357964831713225,0.3959985582508321,MIXED,,False
2026-07-13,-0.0032850387007744564,-0.007656175804276133,-0.00438554378455791,0.007828293160761788,0.19796716396191535,0.5602171117632422,DIRECTIONAL,,False
2026-07-14,0.002322557025042693,0.0035506494801085253,0.0012252467496203234,0.006246993506066423,0.6773524271056367,0.19613382796548334,MIXED,CPI (Consumer Price Index),True
2026-07-15,0.003205471896426948,0.003963635290859857,0.0007557408882548078,0.0071558861137255075,0.8568738719816414,0.10561108383282429,MIXED,PPI (Producer Price Index),True
2026-07-16,-0.0027159020150766544,-0.005418621904850207,-0.0027100802020553205,0.008863170864191028,0.4245090814512955,0.3057686965061887,MIXED,Retail Sales (Advance),True
2026-07-17,-0.011508889259999266,-0.009897152462855052,0.0016305020648468282,0.008645021125520392,0.38366623061052807,0.18860590866961927,MIXED,Consumer Sentiment prelim,True
2026-07-20,0.005072068911785799,-0.0016143807024010526,-0.006652706627721217,0.009713530646545227,0.08033509834528382,0.6848906818539106,MIXED,,False
2026-07-21,0.005659627332520456,0.008341310049703843,0.002666590806967628,0.006549054458590701,0.8436317126708951,0.40717187860145765,MIXED,,False
2026-07-22,-0.002218460914959919,-0.0011627465188399633,0.0010580616645683438,0.004877879742427498,0.28492172645630104,0.2169101577813386,QUIET,,False
2026-07-23,-0.010757108310984975,-0.012349286697366457,-0.0016094918646956113,0.009833933577310936,0.40407865055415193,0.16366714825175002,MIXED,,False
2026-07-24,0.0004470725357916816,0.0010160123684739286,0.0005686855889739384,0.008710599158885323,0.25505638422454274,0.06528662134496749,MIXED,,False
2026-07-27,0.008092755850929834,0.00021657938122121578,-0.00781294818755085,0.013072997619165527,0.3333350931622321,0.5976401446059136,MIXED,,False
2026-07-28,0.000135264983084582,0.0023947867449714,0.0022592161690497825,0.009214033136994364,0.7165947136563937,0.2451929720090787,MIXED,,False
2026-07-29,-0.0012013336015082032,-0.015387482323077073,-0.014203211516813363,0.018330068006506876,0.026512785627468137,0.774858637282276,DIRECTIONAL,FOMC Rate Decision,True
2026-07-30,0.009034035888628944,0.016765798898752626,0.007662539354596154,0.010775066192112989,0.903306369736315,0.711136174755464,DIRECTIONAL,"GDP, PCE (Personal Income & Outlays)",True
2026-07-31,0.004031320362954727,0.007199812590165555,0.0031557703061151354,0.015127654410872554,0.8333345811018316,0.20860936007680206,CHOP,,False
2026-08-03,0.0032260697782471315,0.014243003074779992,0.010981506191289458,0.013091883351853866,0.9069491606876482,0.8388026303132644,DIRECTIONAL,ISM Manufacturing,True
2026-08-04,0.003906740504619144,0.018029010467063733,0.014067312622431327,0.01701261807944403,0.8386378535215379,0.8268752379405112,DIRECTIONAL,JOLTS (Job Openings),True
2026-08-05,0.005859956027641777,-0.001996603217906623,-0.007810788369163824,0.00951599161147649,0.03814320766979275,0.8208065631062395,MIXED,"ADP Employment, ISM Services PMI",True
2026-08-06,0.0005456553227674021,-0.0015978124319052656,-0.0021422987979304864,0.0056638695141238895,0.25228956947147807,0.3782394337631321,QUIET,,False
2026-08-07,0.0032008171125221807,0.006115345581346965,0.002905229360970374,0.00560787706880396,0.8468743546968674,0.5180622409025092,QUIET,"Hourly Wages m/m, Jobs Report (NFP + Unemployment), NFP m/m",True
2026-08-10,-0.0008535679997211387,-0.00029741742366828916,0.0005566256939328884,0.004060754415581445,0.36306117892918266,0.13707445389878056,QUIET,,False
2026-08-11,0.0019403786964657943,-0.0033763617221654885,-0.005306443907918346,0.006616819280121406,0.19648093841642106,0.8019629497605053,MIXED,,False
